GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zhhd-service,com.thinvent.basicpf.util,UserVerifyUtil,44,0,8,0,12,0,8,0,4,0
zhhd-service,com.thinvent.basicpf.util,InterceptorConfig.Interceptor,14,0,0,0,5,0,4,0,4,0
zhhd-service,com.thinvent.basicpf.util,MoniterPointVideoVerifyUtil,11,0,2,0,4,0,2,0,1,0
zhhd-service,com.thinvent.basicpf.util,ConfigVerifyUtil,35,0,8,0,9,0,7,0,3,0
zhhd-service,com.thinvent.basicpf.util,CompanyVerifyUtil,87,0,16,0,21,0,15,0,7,0
zhhd-service,com.thinvent.basicpf.util,CorsConfig,36,0,0,0,10,0,3,0,3,0
zhhd-service,com.thinvent.basicpf.util,ThinventBaseExceptionHandler,58,0,0,0,13,0,4,0,4,0
zhhd-service,com.thinvent.basicpf.util,MoudleVerifyUtil,52,0,10,0,14,0,9,0,4,0
zhhd-service,com.thinvent.basicpf.util,ModuleUtil,87,0,6,0,21,0,6,0,3,0
zhhd-service,com.thinvent.basicpf.util,SwaggerConfig,457,0,0,0,167,0,20,0,20,0
zhhd-service,com.thinvent.basicpf.util,RoleVerifyUtil,39,0,8,0,9,0,7,0,3,0
zhhd-service,com.thinvent.basicpf.util,PositionVerifyUtil,34,0,6,0,9,0,6,0,3,0
zhhd-service,com.thinvent.basicpf.util,DepartmentVerifyUtil,62,0,12,0,14,0,10,0,4,0
zhhd-service,com.thinvent.basicpf.util,InterceptorConfig,47,0,0,0,6,0,3,0,3,0
zhhd-service,com.thinvent.basicpf.handler.impl,CompanyHandlerImpl,264,0,20,0,58,0,19,0,9,0
zhhd-service,com.thinvent.basicpf.handler.impl,UserHandlerImpl,460,0,26,0,100,0,25,0,12,0
zhhd-service,com.thinvent.basicpf.handler.impl,ButtomRegisterHandlerImpl,202,0,10,0,40,0,12,0,7,0
zhhd-service,com.thinvent.basicpf.handler.impl,RoleHandlerImpl,460,0,24,0,103,0,22,0,10,0
zhhd-service,com.thinvent.basicpf.handler.impl,UserRoleHandlerImpl,109,0,4,0,26,0,8,0,6,0
zhhd-service,com.thinvent.basicpf.handler.impl,LogHandlerImpl,30,0,0,0,7,0,3,0,3,0
zhhd-service,com.thinvent.basicpf.handler.impl,PositionHandlerImpl,232,0,10,0,53,0,17,0,12,0
zhhd-service,com.thinvent.basicpf.handler.impl,RoleMoudleHandlerImpl,111,0,8,0,24,0,7,0,3,0
zhhd-service,com.thinvent.basicpf.handler.impl,SysConfHandlerImpl,92,0,2,0,24,0,8,0,7,0
zhhd-service,com.thinvent.basicpf.handler.impl,MonitorPointVideoHandlerImpl,47,0,0,0,12,0,4,0,4,0
zhhd-service,com.thinvent.basicpf.handler.impl,SysRegisterHandlerImpl,201,0,10,0,40,0,12,0,7,0
zhhd-service,com.thinvent.basicpf.handler.impl,DepartmentHandlerImpl,292,0,24,0,60,0,25,0,13,0
zhhd-service,com.thinvent.basicpf.handler.impl,MenuHandlerImpl,364,0,20,0,68,0,18,0,8,0
zhhd-service,com.thinvent.basicpf.handler.impl,MoudleHandlerImpl,396,0,44,0,70,0,33,0,11,0
